date,A
19-Apr-2015,17
26-Apr-2015,19
03-May-2015,25
10-May-2015,15
17-May-2015,15
24-May-2015,14
31-May-2015,13
07-Jun-2015,12
14-Jun-2015,11
21-Jun-2015,11
28-Jun-2015,11
05-Jul-2015,13
12-Jul-2015,52
19-Jul-2015,20
26-Jul-2015,15
02-Aug-2015,15
09-Aug-2015,13
16-Aug-2015,13
23-Aug-2015,13
30-Aug-2015,13
06-Sep-2015,15
13-Sep-2015,13
20-Sep-2015,13
27-Sep-2015,13
04-Oct-2015,13
11-Oct-2015,12
18-Oct-2015,12
25-Oct-2015,15
01-Nov-2015,14
08-Nov-2015,12
15-Nov-2015,14
22-Nov-2015,11
29-Nov-2015,12
06-Dec-2015,13
13-Dec-2015,13
20-Dec-2015,13
27-Dec-2015,14
03-Jan-2016,14
10-Jan-2016,13
17-Jan-2016,25
24-Jan-2016,17
31-Jan-2016,15
07-Feb-2016,14
14-Feb-2016,14
21-Feb-2016,12
28-Feb-2016,13
06-Mar-2016,13
13-Mar-2016,13
20-Mar-2016,14
27-Mar-2016,18
03-Apr-2016,16
10-Apr-2016,24
17-Apr-2016,16
24-Apr-2016,15
01-May-2016,14
08-May-2016,17
15-May-2016,13
22-May-2016,14
29-May-2016,14
05-Jun-2016,14
12-Jun-2016,14
19-Jun-2016,16
26-Jun-2016,17
03-Jul-2016,18
10-Jul-2016,20
17-Jul-2016,24
24-Jul-2016,33
31-Jul-2016,100
07-Aug-2016,98
14-Aug-2016,72
21-Aug-2016,57
28-Aug-2016,45
04-Sep-2016,41
11-Sep-2016,38
18-Sep-2016,32
25-Sep-2016,29
02-Oct-2016,29
09-Oct-2016,32
16-Oct-2016,28
23-Oct-2016,28
30-Oct-2016,27
06-Nov-2016,24
13-Nov-2016,26
20-Nov-2016,24
27-Nov-2016,23
04-Dec-2016,23
11-Dec-2016,24
18-Dec-2016,24
25-Dec-2016,24
01-Jan-2017,23
08-Jan-2017,22
15-Jan-2017,17
22-Jan-2017,18
29-Jan-2017,16
05-Feb-2017,15
12-Feb-2017,15
19-Feb-2017,16
26-Feb-2017,17
05-Mar-2017,15
12-Mar-2017,15
19-Mar-2017,15
26-Mar-2017,14
02-Apr-2017,15
09-Apr-2017,16
16-Apr-2017,21
23-Apr-2017,19
30-Apr-2017,17
07-May-2017,15
14-May-2017,18
21-May-2017,17
28-May-2017,14
04-Jun-2017,15
11-Jun-2017,15
18-Jun-2017,14
25-Jun-2017,14
02-Jul-2017,13
09-Jul-2017,13
16-Jul-2017,19
23-Jul-2017,15
30-Jul-2017,15
06-Aug-2017,14
13-Aug-2017,13
20-Aug-2017,12
27-Aug-2017,14
03-Sep-2017,13
10-Sep-2017,15
17-Sep-2017,14
24-Sep-2017,13
01-Oct-2017,14
08-Oct-2017,14
15-Oct-2017,13
22-Oct-2017,14
29-Oct-2017,14
05-Nov-2017,13
12-Nov-2017,13
19-Nov-2017,13
26-Nov-2017,14
03-Dec-2017,14
10-Dec-2017,14
17-Dec-2017,14
24-Dec-2017,12
31-Dec-2017,30
07-Jan-2018,17
14-Jan-2018,14
21-Jan-2018,13
28-Jan-2018,14
04-Feb-2018,13
11-Feb-2018,12
18-Feb-2018,12
25-Feb-2018,12
04-Mar-2018,12
11-Mar-2018,12
18-Mar-2018,12
25-Mar-2018,12
01-Apr-2018,12
08-Apr-2018,12
15-Apr-2018,12
22-Apr-2018,14
29-Apr-2018,13
06-May-2018,13
13-May-2018,12
20-May-2018,12
27-May-2018,12
03-Jun-2018,29
10-Jun-2018,17
17-Jun-2018,13
24-Jun-2018,12
01-Jul-2018,12
08-Jul-2018,12
15-Jul-2018,13
22-Jul-2018,13
29-Jul-2018,13
05-Aug-2018,12
12-Aug-2018,12
19-Aug-2018,12
26-Aug-2018,12
02-Sep-2018,13
09-Sep-2018,15
16-Sep-2018,12
23-Sep-2018,12
30-Sep-2018,12
07-Oct-2018,12
14-Oct-2018,12
21-Oct-2018,13
28-Oct-2018,12
04-Nov-2018,12
11-Nov-2018,11
18-Nov-2018,11
25-Nov-2018,12
02-Dec-2018,11
09-Dec-2018,12
16-Dec-2018,13
23-Dec-2018,11
30-Dec-2018,11
06-Jan-2019,11
13-Jan-2019,11
20-Jan-2019,11
27-Jan-2019,11
03-Feb-2019,13
10-Feb-2019,12
17-Feb-2019,12
24-Feb-2019,13
03-Mar-2019,13
10-Mar-2019,11
17-Mar-2019,12
24-Mar-2019,13
31-Mar-2019,11
07-Apr-2019,11
14-Apr-2019,11
21-Apr-2019,11
28-Apr-2019,11
05-May-2019,10
12-May-2019,11
19-May-2019,10
26-May-2019,10
02-Jun-2019,10
09-Jun-2019,10
16-Jun-2019,10
23-Jun-2019,10
30-Jun-2019,10
07-Jul-2019,10
14-Jul-2019,10
21-Jul-2019,10
28-Jul-2019,11
04-Aug-2019,12
11-Aug-2019,14
18-Aug-2019,11
25-Aug-2019,11
01-Sep-2019,12
08-Sep-2019,16
15-Sep-2019,12
22-Sep-2019,12
29-Sep-2019,13
06-Oct-2019,14
13-Oct-2019,13
20-Oct-2019,12
27-Oct-2019,12
03-Nov-2019,11
10-Nov-2019,10
17-Nov-2019,11
24-Nov-2019,10
01-Dec-2019,10
08-Dec-2019,10
15-Dec-2019,9
22-Dec-2019,10
29-Dec-2019,10
05-Jan-2020,9
12-Jan-2020,11
19-Jan-2020,11
26-Jan-2020,11
02-Feb-2020,12
09-Feb-2020,12
