"Index","Land","Suizidrate","BIP","Kontinent"
"1","Afghanistan","4.7","547","Afrika"
"2","Ägypten","4.0","3525","Afrika"
"3","Albanien","6.3","4124","Europa"
"4","Algerien","3.2","3946","Afrika"
"5","Angola","4.7","3506","Afrika"
"6","Antigua und Barbuda","0.5","15198","Nordamerika"
"7","Äquatorialguinea","16.4","9250","Afrika"
"8","Argentinien","9.2","12790","Südamerika"
"9","Armenien","6.6","3592","Asien"
"10","Aserbaidschan","2.6","3881","Asien"
"11","Äthiopien","7.2","717","Afrika"
"12","Australien","13.2","49971","Ozeanien"
"13","Bahamas","1.7","31589","Nordamerika"
"14","Bahrain","5.9","22619","Asien"
"15","Bangladesch","5.9","1402","Asien"
"16","Barbados","0.8","16937","Nordamerika"
"17","Belgien","20.7","42012","Europa"
"18","Belize","4.7","4818","Nordamerika"
"19","Benin","9.9","1087","Afrika"
"20","Bhutan","11.4","2931","Asien"
"21","Bolivien","12.2","3077","Südamerika"
"22","Bosnien und Herzegowina","8.8","4995","Europa"
"23","Botswana","9.3","7244","Afrika"
"24","Brasilien","6.5","8710","Südamerika"
"25","Brunei","4.6","27158","Asien"
"26","Bulgarien","11.5","7469","Europa"
"27","Burkina Faso","7.7","583","Afrika"
"28","Burundi","9.1","282","Afrika"
"29","Chile","10.6","13748","Südamerika"
"30","Volksrepublik China","9.7","8079","Asien"
"31","Costa Rica","7.9","11666","Nordamerika"
"32","Dänemark","12.8","54664","Europa"
"33","Deutschland","13.6","42099","Europa"
"34","Dominikanische Republik","9.9","7281","Nordamerika"
"35","Dschibuti","6.7","2818","Afrika"
"36","Ecuador","7.1","6060","Südamerika"
"37","El Salvador","13.7","3800","Nordamerika"
"38","Elfenbeinküste","14.5","1482","Afrika"
"39","Estland","17.8","18237","Europa"
"40","Fidschi","5.0","5651","Ozeanien"
"41","Finnland","15.9","43777","Europa"
"42","Frankreich","17.7","37039","Europa"
"43","Gabun","7.1","6980","Afrika"
"44","Gambia","5.1","683","Afrika"
"45","Georgien","8.2","4062","Asien"
"46","Ghana","5.4","1931","Afrika"
"47","Grenada","1.7","9628","Nordamerika"
"48","Griechenland","5.0","18116","Europa"
"49","Guatemala","2.7","4141","Nordamerika"
"50","Guinea","6.3","733","Afrika"
"51","Guinea-Bissau","4.0","661","Afrika"
"52","Guyana","29.2","4543","Südamerika"
"53","Haiti","11.7","735","Nordamerika"
"54","Honduras","2.9","2343","Nordamerika"
"55","Indien","16.3","1729","Asien"
"56","Indonesien","3.4","3563","Asien"
"57","Irak","3.0","4777","Asien"
"58","Iran","4.1","5266","Asien"
"59","Irland","11.5","63197","Europa"
"60","Island","14.0","61758","Europa"
"61","Israel","5.4","37322","Asien"
"62","Italien","8.2","30936","Europa"
"63","Jamaika","2.2","4843","Nordamerika"
"64","Japan","18.5","38794","Asien"
"65","Jemen","8.5","1140","Asien"
"66","Jordanien","2.9","4104","Asien"
"67","Kanada","12.5","42280","Nordamerika"
"68","Kap Verde","11.3","3131","Afrika"
"69","Kasachstan","22.5","7715","Asien"
"70","Katar","6.6","57163","Asien"
"71","Kenia","3.2","1411","Afrika"
"72","Kirgisistan","8.3","1121","Asien"
"73","Kiribati","14.4","1585","Ozeanien"
"74","Kolumbien","7.2","5871","Südamerika"
"75","Komoren","6.8","1272","Afrika"
"76","Demokratische Republik Kongo","5.7","471","Afrika"
"77","Republik Kongo","5.9","1814","Afrika"
"78","Südkorea","26.9","27623","Asien"
"79","Kroatien","16.5","12360","Europa"
